"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"13/02/2026","13.332,82","13.317,24","13.344,97","13.301,56","","0,11%"
"12/02/2026","13.317,76","13.290,57","13.344,71","13.284,78","","0,18%"
"11/02/2026","13.293,21","13.280,36","13.313,24","13.241,80","","0,10%"
"10/02/2026","13.279,31","13.278,02","13.321,18","13.256,16","","0,01%"
"09/02/2026","13.278,02","13.260,22","13.283,79","13.223,66","","0,15%"
"08/02/2026","13.258,79","13.259,56","13.266,10","13.236,92","","-0,06%"
"06/02/2026","13.267,00","13.197,42","13.274,31","13.179,33","","0,53%"
"05/02/2026","13.196,90","13.177,23","13.230,09","13.171,02","","0,14%"
"04/02/2026","13.178,27","13.194,78","13.215,25","13.166,88","","-0,14%"
"03/02/2026","13.196,86","13.194,51","13.231,45","13.171,96","","0,00%"
"02/02/2026","13.196,58","13.201,99","13.227,37","13.169,36","","0,04%"
"30/01/2026","13.191,61","13.244,37","13.268,33","13.187,46","","-0,40%"
"29/01/2026","13.244,89","13.233,79","13.318,28","13.201,04","","0,09%"
"28/01/2026","13.233,26","13.308,73","13.309,26","13.196,15","","-0,56%"
"27/01/2026","13.308,20","13.212,30","13.316,13","13.196,71","","0,75%"
"26/01/2026","13.208,67","13.227,66","13.247,98","13.195,16","","-0,08%"
"23/01/2026","13.219,87","13.178,54","13.226,11","13.128,62","","0,29%"
"22/01/2026","13.181,63","13.183,10","13.195,21","13.080,88","","-0,01%"
"21/01/2026","13.182,59","13.200,43","13.222,94","13.171,31","","-0,14%"
"20/01/2026","13.200,43","13.183,40","13.227,21","13.172,12","","0,12%"
"19/01/2026","13.184,94","13.099,31","13.191,09","13.094,74","","0,66%"
"16/01/2026","13.098,80","13.108,97","13.120,17","13.087,63","","-0,05%"
"15/01/2026","13.105,41","13.091,08","13.123,74","13.067,70","","0,10%"
"14/01/2026","13.092,61","13.086,33","13.109,12","13.072,30","","0,04%"
