"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/01/2026","16.675,0","16.675,0","16.675,0","16.675,0","","0,00%"
"31/12/2025","16.675,0","16.715,0","16.742,5","16.675,0","","-0,51%"
"30/12/2025","16.760,0","16.780,0","16.789,0","16.760,0","","-0,15%"
"29/12/2025","16.785,0","16.760,0","16.795,0","16.757,5","","0,18%"
"26/12/2025","16.755,0","16.755,0","16.755,0","16.755,0","","0,00%"
"25/12/2025","16.755,0","16.755,0","16.755,0","16.755,0","","0,00%"
"24/12/2025","16.755,0","16.770,0","16.782,5","16.749,0","","-0,09%"
"23/12/2025","16.770,0","16.755,0","16.800,0","16.745,0","","0,00%"
"22/12/2025","16.770,0","16.737,5","16.785,0","16.737,5","","0,18%"
"19/12/2025","16.740,0","16.715,0","16.750,0","16.706,5","","0,15%"
"18/12/2025","16.715,0","16.702,5","16.732,5","16.695,0","","0,18%"
"17/12/2025","16.685,0","16.675,0","16.710,0","16.665,0","","-0,03%"
"16/12/2025","16.690,0","16.672,5","16.695,0","16.670,0","","0,15%"
"15/12/2025","16.665,0","16.640,0","16.673,5","16.640,0","","0,15%"
"12/12/2025","16.640,0","16.647,5","16.675,0","16.627,5","","-0,18%"
"11/12/2025","16.670,0","16.655,0","16.682,5","16.639,0","","-0,09%"
"10/12/2025","16.685,0","16.685,0","16.696,5","16.676,0","","0,12%"
"09/12/2025","16.665,0","16.690,0","16.697,5","16.659,5","","-0,15%"
"08/12/2025","16.690,0","16.660,0","16.696,5","16.650,0","","0,30%"
"05/12/2025","16.640,0","16.655,0","16.667,5","16.640,0","","-0,03%"
"04/12/2025","16.645,0","16.630,0","16.655,5","16.626,5","","0,15%"
"03/12/2025","16.620,0","16.625,0","16.637,5","16.617,5","","0,00%"
"02/12/2025","16.620,0","16.632,5","16.647,5","16.615,0","","-0,21%"
"01/12/2025","16.655,0","16.660,0","16.675,0","16.650,0","","0,00%"
"28/11/2025","16.655,0","16.637,5","16.670,0","16.632,5","","0,09%"
"27/11/2025","16.640,0","16.630,0","16.652,5","16.620,0","","-0,12%"
"26/11/2025","16.660,0","16.647,5","16.682,5","16.640,0","","0,00%"
