1,1,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,
,,,,,,,,,Dalam Jutaan Rupiah / In Millions Rupiah
Laporan Posisi Keuangan / Statement Of Financial Position,,,,,,,,,
Asuransi Umum Konvensional/Conventional General Insurance ,,,,,,,,,
,#VALUE!,"Januari/
January","Februari/
February","Maret/
March","April/
April","Mei/
May","Juni/ 
June","Juli/ 
July",Account
1,Deposito Berjangka," 22,628,989 "," 23,478,991 "," 24,088,420 "," 24,188,116 "," 24,512,702 "," 24,665,879 "," 25,327,786 ", Time Deposit  
2,Sertifikat Deposito, -   ," 80,404 ", -   , -   , -   , -   , -   , Certificate Of Deposit 
3,Saham ," 4,912,733 "," 4,524,374 "," 4,634,382 "," 4,709,842 "," 4,806,993 "," 4,548,132 "," 4,736,353 ", Stocks 
4,Obligasi Korporasi," 12,170,904 "," 12,272,802 "," 12,782,765 "," 12,905,639 "," 13,007,779 "," 13,285,265 "," 13,462,119 ", Bonds 
5,MTN," 102,725 "," 102,725 "," 102,725 "," 102,725 "," 102,725 "," 102,725 "," 106,055 ", Medium Term Note 
6,Surat Berharga yang Diterbitkan oleh Negara RI ," 42,460,266 "," 43,328,134 "," 43,846,124 "," 44,413,686 "," 44,920,873 "," 44,515,735 "," 45,728,663 ", Marketable Securities Issued By Republic Indonesia 
7,Surat Berharga yang Diterbitkan oleh Negara Selain Negara RI ," 81,667 "," 82,683 "," 83,471 "," 84,320 "," 81,560 "," 81,489 "," 82,025 ",    Marketable Securities Issued By other than Republic Indonesia 
8,Surat Berharga yang Diterbitkan oleh Bank Indonesia," 2,732,826 "," 2,805,275 "," 2,915,085 "," 2,696,159 "," 2,601,420 "," 2,422,743 "," 1,987,780 ", Marketable Securities Issued By Bank Indonesia 
9,Surat Berharga yang Diterbitkan oleh Lembaga Multinasional, -   , -   , -   , -   , -   , -   , -   , Marketable Securities Issued By Multinational Institution 
10,Reksa Dana," 22,329,770 "," 22,039,157 "," 21,572,494 "," 21,938,602 "," 21,801,615 "," 21,880,706 "," 22,688,500 ", Mutual Fund 
11,Efek Beragun Aset ," 42,788 "," 42,878 "," 41,403 "," 41,578 "," 41,670 "," 39,797 "," 40,101 ", Collective Investment Contract-Assets Backed Securities 
12,Dana Investasi Real Estat, -   , -   , -   , -   , -   , -   , -   , Real Estate Investment Fund 
13,REPO, -   , -   , -   , -   , -   , -   , -   , Repurchase Order 
14,Penyertaan Langsung," 11,965,873 "," 12,106,087 "," 11,903,266 "," 11,870,293 "," 11,890,961 "," 12,060,413 "," 12,045,929 ", Direct Investment 
15,"Tanah, Bangunan dengan Hak Strata, atau Tanah dengan Bangunan, untuk Investasi"," 1,138,730 "," 1,138,361 "," 1,172,426 "," 1,172,474 "," 1,171,949 "," 1,179,696 "," 1,129,700 ", Buildings With Strata Title or Real Estate For Investment 
16,Pembiayaan Melalui Kerjasama dengan Pihak Lain (Executing), -   , -   , -   , -   , -   , -   , -   , Executing 
17,Emas Murni, -   , -   , -   , -   , -   , -   , -   , Gold 
18,Pinjaman yang Dijamin dengan Hak Tanggungan," 30,921 "," 30,494 "," 28,546 "," 28,407 "," 26,557 "," 27,544 "," 24,390 ", Mortgage 
19,Pinjaman Polis*, -   , -   , -   , -   , -   , -   , -   , Policy Loan 
20,Obligasi Daerah**, -   , -   , -   , -   , -   , -   , -   ,
21,Dana Investasi Infrastruktur Berbentuk Kontrak Investasi Kolektif **, -   , -   , -   , -   , -   , -   , -   ,
22,Investasi Lain," 214,040 "," 214,040 "," 216,089 "," 216,217 "," 216,328 "," 216,263 "," 216,428 ", Other Investment 
23,Jumlah Investasi," 120,812,231 "," 122,246,405 "," 123,387,197 "," 124,368,057 "," 125,183,131 "," 125,026,387 "," 127,575,829 ", Total Investment 
