,,,,,,,,,,,,,,Dalam Jutaan Rupiah / In Millions Rupiah
Laporan Posisi Keuangan / Statement Of Financial Position,,,,,,,,,,,,,,
Asuransi Umum Konvensional/Conventional General Insurance ,,,,,,,,,,,,,,
,Akun,"Januari/
January","Februari/
February","Maret/
March","April/
April","Mei/
May","Juni/
June","Juli/
July","Agustus/
August","September/
September","Oktober/
October","November/
November","Desember/
December",Account
1,Deposito Berjangka," 26,057,957 "," 26,175,263 "," 26,260,883 "," 26,039,616 "," 25,246,754 "," 24,148,775 "," 23,692,896 "," 23,795,975 "," 23,643,090 "," 23,914,839 "," 23,158,623 "," 23,246,703 ", Time Deposit  
2,Sertifikat Deposito," 23,350 "," 35,850 "," 72,650 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , Certificate Of Deposit 
3,Saham ," 5,336,587 "," 5,371,533 "," 5,398,459 "," 5,419,901 "," 5,421,497 "," 5,292,134 "," 5,355,040 "," 5,309,701 "," 5,303,107 "," 5,314,444 "," 5,284,934 "," 5,040,243 ", Stocks 
4,Obligasi Korporasi," 12,242,460 "," 12,308,147 "," 12,366,965 "," 12,140,158 "," 12,036,929 "," 11,958,422 "," 12,080,270 "," 12,031,756 "," 12,145,370 "," 11,909,993 "," 12,218,201 "," 12,080,201 ", Bonds 
5,MTN," 297,710 "," 274,782 "," 274,786 "," 273,498 "," 273,503 "," 261,017 "," 261,024 "," 262,342 "," 149,850 "," 103,900 "," 103,900 "," 102,725 ", Medium Term Note 
6,Surat Berharga yang Diterbitkan oleh Negara RI ," 36,326,667 "," 36,713,270 "," 36,883,478 "," 37,115,635 "," 37,987,625 "," 38,534,277 "," 38,753,976 "," 40,562,770 "," 41,536,005 "," 40,641,300 "," 41,202,196 "," 41,707,042 ", Marketable Securities Issued By Republic Indonesia 
7,Surat Berharga yang Diterbitkan oleh Negara Selain Negara RI ," 40,126 "," 39,281 "," 39,685 "," 40,318 "," 40,499 "," 41,061 "," 41,188 "," 38,958 "," 76,988 "," 79,207 "," 79,803 "," 81,185 ",    Marketable Securities Issued By other than Republic Indonesia 
8,Surat Berharga yang Diterbitkan oleh Bank Indonesia, -   , -   , -   ," 27,059 "," 290,271 "," 432,088 "," 824,285 "," 1,072,358 "," 1,190,085 "," 2,208,881 "," 2,513,238 "," 2,713,804 ", Marketable Securities Issued By Bank Indonesia 
9,Surat Berharga yang Diterbitkan oleh Lembaga Multinasional, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Marketable Securities Issued By Multinational Institution 
10,Reksa Dana," 22,513,505 "," 22,798,677 "," 22,529,161 "," 22,786,988 "," 22,651,369 "," 22,904,019 "," 23,930,961 "," 23,605,408 "," 23,587,668 "," 23,425,610 "," 23,096,693 "," 22,313,341 ", Mutual Fund 
11,Efek Beragun Aset ," 46,485 "," 46,667 "," 45,442 "," 45,054 "," 44,975 "," 43,927 "," 43,917 "," 44,213 "," 42,319 "," 42,401 "," 42,190 "," 42,839 ", Collective Investment Contract-Assets Backed Securities 
12,Dana Investasi Real Estat, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Real Estate Investment Fund 
13,REPO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Repurchase Order 
14,Penyertaan Langsung," 10,682,408 "," 10,745,787 "," 10,805,165 "," 10,841,727 "," 10,890,085 "," 10,891,729 "," 10,913,237 "," 10,947,631 "," 11,057,927 "," 11,117,487 "," 11,265,038 "," 11,952,467 ", Direct Investment 
15,"Tanah, Bangunan dengan Hak Strata, atau Tanah dengan Bangunan, untuk Investasi"," 1,223,332 "," 1,173,092 "," 1,174,114 "," 1,173,591 "," 1,173,612 "," 1,185,799 "," 1,185,380 "," 1,212,293 "," 1,209,407 "," 1,158,836 "," 1,135,348 "," 1,149,569 ", Buildings With Strata Title or Real Estate For Investment 
