No,Akun,Account_EN,Januari-2024,Februari-2024,Maret-2024,April-2024,Mei-2024,Juni-2024,Juli-2024,Agustus-2024,September-2024,Oktober-2024,November-2024,Desember-2024,Januari-2025,Februari-2025,Maret-2025,April-2025,Mei-2025,Juni-2025,Juli-2025
1,Deposito Berjangka,Time Deposit,26057957.0,26175263.0,26260883.0,26039616.0,25246754.0,24148775.0,23692896.0,23795975.0,23643090.0,23914839.0,23158623.0,23246703.0,22628989.0,23478991.0,24088420.0,24188116.0,24512702.0,24665879.0,25327786.0
10,Reksa Dana,Mutual Fund,22513505.0,22798677.0,22529161.0,22786988.0,22651369.0,22904019.0,23930961.0,23605408.0,23587668.0,23425610.0,23096693.0,22313341.0,22329770.0,22039157.0,21572494.0,21938602.0,21801615.0,21880706.0,22688500.0
11,Efek Beragun Aset,Collective Investment Contract-Assets Backed Securities,46485.0,46667.0,45442.0,45054.0,44975.0,43927.0,43917.0,44213.0,42319.0,42401.0,42190.0,42839.0,42788.0,42878.0,41403.0,41578.0,41670.0,39797.0,40101.0
12,Dana Investasi Real Estat,Real Estate Investment Fund,,,,,,,,,,,,,,,,,,,
13,REPO,Repurchase Order,,,,,,,,,,,,,,,,,,,
14,Penyertaan Langsung,Direct Investment,10682408.0,10745787.0,10805165.0,10841727.0,10890085.0,10891729.0,10913237.0,10947631.0,11057927.0,11117487.0,11265038.0,11952467.0,11965873.0,12106087.0,11903266.0,11870293.0,11890961.0,12060413.0,12045929.0
15,"Tanah, Bangunan dengan Hak Strata, atau Tanah dengan Bangunan, untuk Investasi",Buildings With Strata Title or Real Estate For Investment,1223332.0,1173092.0,1174114.0,1173591.0,1173612.0,1185799.0,1185380.0,1212293.0,1209407.0,1158836.0,1135348.0,1149569.0,1138730.0,1138361.0,1172426.0,1172474.0,1171949.0,1179696.0,1129700.0
16,Pembiayaan Melalui Kerjasama dengan Pihak Lain (Executing),Executing,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,15650.0,,,,,,,,,,,
17,Emas Murni,Gold,114.0,114.0,125.0,133.0,134.0,137.0,141.0,140.0,146.0,157.0,151.0,153.0,,,,,,,
18,Pinjaman yang Dijamin dengan Hak Tanggungan,Mortgage,58476.0,20337.0,28817.0,28274.0,27758.0,24802.0,23410.0,30488.0,30068.0,29747.0,30903.0,30479.0,30921.0,30494.0,28546.0,28407.0,26557.0,27544.0,24390.0
19,Pinjaman Polis*,Policy Loan,,,,,,,,,,,,,,,,,,,
2,Sertifikat Deposito,Certificate Of Deposit,23350.0,35850.0,72650.0,,,,,,,,,,,80404.0,,,,,
20,Obligasi Daerah**,,,,,,,,,,,,,,,,,,,,
21,Dana Investasi Infrastruktur Berbentuk Kontrak Investasi Kolektif **,,30030.0,,,30030.0,30030.0,,,,,,,,,,,,,,
22,Investasi Lain,Other Investment,227644.0,216040.0,216040.0,216040.0,216040.0,216040.0,216040.0,216040.0,216040.0,216040.0,216040.0,214040.0,214040.0,214040.0,216089.0,216217.0,216328.0,216263.0,216428.0
23,Jumlah Investasi,Total Investment,115138150.0,115980169.0,116157099.0,116209320.0,116362380.0,115965525.0,117353068.0,119145722.0,120188068.0,120162841.0,120347258.0,120674790.0,120812231.0,122246405.0,123387197.0,124368057.0,125183131.0,125026387.0,127575829.0
24,Kas dan Bank,Cash and Bank,7401789.0,7428454.0,7349655.0,7579322.0,7970589.0,8371236.0,8125898.0,7642708.0,8499066.0,7989523.0,8214976.0,7426696.0,7982732.0,7754014.0,8088992.0,8017122.0,7799918.0,9030471.0,8552242.0
25,Tagihan Premi Penutupan Langsung,Premium Receivable,21848334.0,22160022.0,21693912.0,21226673.0,20733409.0,21258441.0,21550421.0,20227436.0,19363324.0,19310495.0,18668892.0,24002160.0,27740756.0,26818569.0,26384882.0,27017883.0,24587424.0,25124780.0,24440371.0
26,Tagihan Premi Reasuransi,Reinsurance Premium Receivable,2951921.0,3133447.0,3216393.0,3270905.0,3582124.0,3557903.0,3744353.0,4358988.0,3972561.0,2582277.0,2702915.0,2661440.0,2803873.0,2953284.0,2949939.0,3094560.0,2123108.0,2303184.0,2512131.0
27,Aset Reasuransi,Reinsurance Asset,55088526.0,58356696.0,59029896.0,59632630.0,58072266.0,59707491.0,59196117.0,57217397.0,54953799.0,56370219.0,55079310.0,55577502.0,57389039.0,60097595.0,60639927.0,64715872.0,62349334.0,62653709.0,62176042.0
28,Tagihan Klaim Koasuransi,Coinsurance Claim Receivable,985779.0,741466.0,716553.0,829482.0,731786.0,837327.0,1038347.0,852057.0,870920.0,738795.0,680853.0,991241.0,975596.0,901865.0,872597.0,807344.0,750427.0,642688.0,610842.0
29,Tagihan Klaim Reasuransi,Reinsurance Claim Receivable,6223665.0,6262982.0,6010543.0,5997236.0,5808493.0,5971377.0,6081757.0,6244826.0,6022330.0,7236609.0,7009689.0,6561270.0,6512075.0,6685716.0,6415805.0,6566008.0,6887502.0,6897868.0,6976024.0
3,Saham,Stocks,5336587.0,5371533.0,5398459.0,5419901.0,5421497.0,5292134.0,5355040.0,5309701.0,5303107.0,5314444.0,5284934.0,5040243.0,4912733.0,4524374.0,4634382.0,4709842.0,4806993.0,4548132.0,4736353.0
30,Tagihan Investasi,Investment Receivable,31920.0,31487.0,25550.0,70589.0,92434.0,91923.0,66923.0,66841.0,66781.0,94853.0,77431.0,69168.0,68510.0,67356.0,82178.0,66741.0,142963.0,66235.0,66235.0
31,Tagihan Hasil Investasi,Investment Yield Receivable,838574.0,831107.0,757596.0,742003.0,643228.0,751647.0,900793.0,945386.0,839682.0,764415.0,674186.0,753233.0,880989.0,834368.0,822207.0,760914.0,765814.0,841297.0,964638.0
32,Bangunan dengan Hak Strata atau Tanah dengan Bangunan untuk Dipakai Sendiri,Property,4352415.0,4344919.0,4319905.0,4403157.0,4398722.0,4389657.0,4386821.0,4400431.0,4393758.0,4387479.0,4400437.0,4460020.0,4227543.0,4231157.0,4232562.0,4250932.0,4272235.0,4262793.0,4290807.0
33,Biaya Akuisisi yang Ditangguhkan,Deferred Acquisition Cost,507250.0,529833.0,566565.0,569166.0,583380.0,592330.0,596356.0,551295.0,549520.0,546776.0,543679.0,557990.0,541728.0,533856.0,539156.0,531271.0,536938.0,542345.0,546190.0
34,Aset Tetap Lain,Other Fixed Assets,1468019.0,1459009.0,1443488.0,1320997.0,1344591.0,1335602.0,1324222.0,1318611.0,1320921.0,1338848.0,1321509.0,1355446.0,1340157.0,1288279.0,1279267.0,1281043.0,1251379.0,1236124.0,1221884.0
35,Aset Lain,Other Assets,13217757.0,13004726.0,13355927.0,13487488.0,13459834.0,13508669.0,13667357.0,13723029.0,13802786.0,14029195.0,13504933.0,17822668.0,18559751.0,18559904.0,18326163.0,18527845.0,18629869.0,18602902.0,19766428.0
36,Jumlah Bukan Investasi,Total Non Investment,114915949.0,118284148.0,118485983.0,119129649.0,117420857.0,120373602.0,120679364.0,117549006.0,114655448.0,115389483.0,112878809.0,122238834.0,129022750.0,130725964.0,130633676.0,135637534.0,130096909.0,132204396.0,132123834.0
37,JUMLAH ASET,Total Assets,230054099.0,234264316.0,234643082.0,235338969.0,233783237.0,236339127.0,238032432.0,236694728.0,234843517.0,235552324.0,233226067.0,242913625.0,249834981.0,252972369.0,254020874.0,260005591.0,255280040.0,257230783.0,259699663.0
38,Utang Klaim,Claims Payable,2039959.0,1988555.0,2123717.0,2297345.0,2111881.0,2038440.0,2252245.0,2533181.0,2331849.0,2744678.0,2590495.0,3158199.0,2625634.0,2547385.0,2621318.0,2519246.0,2691363.0,2409706.0,2446091.0
39,Utang Koasuransi,Coinsurance Payable,1408619.0,1362898.0,1286386.0,1206344.0,1397229.0,1393300.0,1440690.0,1276825.0,1046458.0,1042189.0,1023837.0,1161835.0,1355040.0,1251293.0,1170143.0,1395138.0,1229741.0,1305341.0,1371457.0
4,Obligasi Korporasi,Bonds,12242460.0,12308147.0,12366965.0,12140158.0,12036929.0,11958422.0,12080270.0,12031756.0,12145370.0,11909993.0,12218201.0,12080201.0,12170904.0,12272802.0,12782765.0,12905639.0,13007779.0,13285265.0,13462119.0
40,Utang Reasuransi,Reinsurance Payable,12598463.0,12291160.0,11397244.0,11884888.0,11906741.0,12880355.0,13374105.0,12720108.0,12038539.0,12225038.0,12392368.0,13606158.0,15279888.0,15850759.0,15450001.0,16370900.0,14623255.0,14854971.0,15494907.0
