ICD_Group,country_group,n_claims,mean_nominal,median_nominal,p90_nominal,id_median,cost_multiplier_vs_id
Cedera,Indonesia,163,52654016.274171785,12602283.0,177327133.00000024,12602283.0,1.0
Cedera,Malaysia,4,54342201.3725,19000083.585,127787352.27500004,12602283.0,1.507669966227548
Cedera,Singapore,30,180120348.114,17075984.14,627333517.328,12602283.0,1.3549913249845287
Endokrin/Metabolik,Indonesia,40,22977548.45925,6082616.5,80370181.30000003,6082616.5,1.0
Endokrin/Metabolik,Malaysia,3,181951540.62666667,21417497.21,419691011.234,6082616.5,3.5210993837931426
Endokrin/Metabolik,Singapore,14,311674092.435,72610533.02,741726748.0170002,6082616.5,11.937384679767334
Faktor Kesehatan,Indonesia,6,9733816.666666666,2916200.0,25950000.0,2916200.0,1.0
Gejala Umum,Indonesia,210,27530097.474714287,11956555.5,60105744.999999985,11956555.5,1.0
Gejala Umum,Malaysia,4,13731448.4,11371792.01,28355238.843000002,11956555.5,0.9510926462056735
Gejala Umum,Other_Overseas,3,6385815.666666667,288273.0,14924053.0,11956555.5,0.024110037376567188
Gejala Umum,Singapore,11,40977059.07636363,27769232.05,105425891.66,11956555.5,2.3225110317097597
Gejala Umum,Unknown,1,7075620.0,7075620.0,7075620.0,11956555.5,0.5917774563083824
Genitourinari,Indonesia,610,12757276.046491804,2688700.0,22911459.40000001,2688700.0,1.0
Genitourinari,Malaysia,40,25253158.27925,13183106.825,56609003.419000044,2688700.0,4.903152759697995
Genitourinari,Singapore,61,89225870.08,24012344.71,245014183.0,2688700.0,8.930838215494477
Infeksi,Indonesia,181,18902982.439502764,12101266.0,42646308.0,12101266.0,1.0
Infeksi,Malaysia,1,980750.92,980750.92,980750.92,12101266.0,0.08104531542402259
Infeksi,Singapore,4,43588992.915,33190906.165000003,92996427.08700001,12101266.0,2.7427631261886156
Kardiovaskular,Indonesia,243,74054537.97288066,27831700.0,207543970.8,27831700.0,1.0
Kardiovaskular,Malaysia,50,67794948.3784,26257479.845,194112825.58100003,27831700.0,0.9434378728212793
Kardiovaskular,Other_Overseas,10,156047118.9849284,29284792.0,380323211.3583554,27831700.0,1.0522099620217233
Kardiovaskular,Singapore,80,235047124.62362498,50595475.379999995,694315656.9080001,27831700.0,1.8179081903009875
Kongenital,Singapore,1,245965307.76,245965307.76,245965307.76,,28.019998820943528
Kulit,Indonesia,72,28788160.50611111,6376512.5,39473435.199999996,6376512.5,1.0
Kulit,Malaysia,4,17864220.735,1104346.0150000001,48625846.79900001,6376512.5,0.17318965735580383
Kulit,Singapore,3,49548257.36666667,10646078.4,109287602.71200001,6376512.5,1.6695769670333118
Lainnya,Indonesia,3,1775986.6666666667,730955.0,3562944.6,730955.0,1.0
Lainnya,Malaysia,1,61355165.01,61355165.01,61355165.01,730955.0,83.93836147232045
Lainnya,Singapore,1,71451795.09,71451795.09,71451795.09,730955.0,97.75129124227894
Lainnya,Unknown,3,55257354.63666666,54749557.0,80599160.928,730955.0,74.90140569528904
Mata/Telinga,Indonesia,381,13260887.27863517,8251961.0,30921000.0,8251961.0,1.0
Mata/Telinga,Malaysia,21,14154432.482857142,15543356.0,22302436.76,8251961.0,1.883595426590116
Mata/Telinga,Other_Overseas,1,24613551.0,24613551.0,24613551.0,8251961.0,2.9827517362236686
Mata/Telinga,Singapore,144,62778137.15819445,33806156.065,145541209.08200002,8251961.0,4.096742103483039
Mata/Telinga,Unknown,1,7081500.0,7081500.0,7081500.0,8251961.0,0.8581596544142659
Mental/Perilaku,Indonesia,3,16862719.033333335,10975957.1,30284951.42,10975957.1,1.0
Muskuloskeletal,Indonesia,255,55042092.01627451,13214601.0,192551358.99999997,13214601.0,1.0
Muskuloskeletal,Malaysia,53,57675386.18415095,5321975.75,194087289.59000012,13214601.0,0.40273450178329256
Muskuloskeletal,Other_Overseas,7,111876219.82067595,66425238.21,212603569.25672883,13214601.0,5.026654850191845
Muskuloskeletal,Singapore,57,224811568.78473684,15952945.0,667211950.9679997,13214601.0,1.2072210882492782
Neoplasma/Darah,Indonesia,73,35082545.31767123,11028760.0,68963982.2,11028760.0,1.0
Neoplasma/Darah,Malaysia,28,68224690.9075,11187357.375,220318649.47300002,11028760.0,1.0143803451158606
