ICD_Group,n_policy_disease,n_repeaters,repeat_rate,avg_claims,avg_claims_repeaters,avg_interval_repeaters,avg_nominal
Pencernaan,332,146,0.4397590361445783,1.6295180722891567,2.4315068493150687,43.21860730593607,44249429.462628014
Mata/Telinga,200,131,0.655,2.74,3.6564885496183206,28.874512298558102,28982200.95277188
Kardiovaskular,227,94,0.41409691629955947,1.6872246696035242,2.6595744680851063,55.47446808510639,93716103.72071502
Neoplasma/Kanker,101,86,0.8514851485148515,9.237623762376238,10.674418604651162,48.010107414650584,129619148.87759279
Muskuloskeletal,179,76,0.4245810055865922,2.078212290502793,3.539473684210526,33.58653605166763,104068594.07496832
Genitourinari,106,61,0.5754716981132075,6.7075471698113205,10.918032786885245,26.823304700480634,53069572.52754811
Cedera,112,44,0.39285714285714285,1.7589285714285714,2.9318181818181817,36.81758658008658,80913273.37770781
Gejala Umum,140,37,0.2642857142857143,1.6357142857142857,3.4054054054054053,48.03190690690691,35637352.75802252
Neoplasma/Darah,74,32,0.43243243243243246,1.945945945945946,3.1875,28.560267857142858,71031535.19278637
Respiratori,117,30,0.2564102564102564,1.4786324786324787,2.8666666666666667,75.09722222222221,59016012.527028285
Infeksi,146,27,0.18493150684931506,1.273972602739726,2.4814814814814814,59.456790123456784,20681547.944908675
Kulit,45,19,0.4222222222222222,1.7555555555555555,2.789473684210526,31.52368421052632,27981152.854777776
Endokrin/Metabolik,44,11,0.25,1.2954545454545454,2.1818181818181817,54.13636363636363,89326342.19375001
Saraf,36,8,0.2222222222222222,1.2777777777777777,2.25,6.916666666666666,61939187.449305564
Faktor Kesehatan,4,2,0.5,1.5,2.0,8.5,8029412.5
Lainnya,6,1,0.16666666666666666,1.3333333333333333,3.0,1.0,50059168.44611111
Kongenital,1,0,0.0,1.0,,,245965307.76
Mental/Perilaku,3,0,0.0,1.0,,,16862719.033333335
